id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
110,640,702,9,2041.2830055560455,36995.75650410089,"(546, 647, 725, 746)",11339,G1,11,11,-1
123,644,698,10,1985.1496942302579,37410.731188513695,"(549, 643, 728, 744)",11283,G1,11,11,-1
135,641,700,11,2027.4378520806833,36794.030801381065,"(549, 644, 721, 747)",11006,G1,11,11,-1
147,637,698,12,1999.9614751098097,37839.31789897511,"(547, 641, 718, 748)",10928,G1,11,11,-1
159,636,695,13,2065.0378463827415,38895.299330481685,"(549, 638, 714, 748)",10754,G1,11,11,-1
171,631,695,14,2161.778139838004,41417.53235266735,"(543, 636, 708, 749)",10741,G1,11,11,-1
183,632,695,15,2473.0427767354595,45028.13348968105,"(544, 636, 711, 750)",10660,G1,11,11,-1
219,629,700,18,2736.10293844151,49934.41770503999,"(540, 641, 708, 754)",10754,G1,11,11,-1
231,628,702,19,2672.0546167491366,50576.6821958734,"(540, 644, 703, 755)",10711,G1,11,11,-1
117,1062,647,9,2082.2373487348736,24114.009625962597,"(1024, 618, 1101, 679)",3636,G1,12,12,-1
202,1008,680,16,3062.733217391304,27134.31252173913,"(968, 632, 1049, 730)",5750,G1,12,12,-1
192,323,566,16,17532.389134554644,5912.317119393557,"(284, 498, 360, 629)",7915,S,13,13,-1
